2	7C	104	716
2	5B	100	717
2	7B	104	718
3	1B	104	719
0	7B	104	720
3	4D	103	721
0	2D	103	722
3	12C	105	723
1	3D	105	724
0	13B	105	725
2	11D	104	726
1	11D	102	727
0	4A	103	728
0	7D	101	729
2	13C	101	730
2	12A	104	731
3	9C	102	732
2	3D	105	733
0	11A	104	734
0	12B	105	735
2	11A	100	736
1	9B	102	737
2	5A	105	738
3	2C	104	739
2	3B	105	740
2	8D	100	741
3	1C	101	742
3	2A	102	743
3	9D	103	744
2	11A	103	745
1	1A	102	746
2	9A	100	747
3	7A	101	748
0	10C	101	749
1	8D	105	750
0	6C	102	751
0	9C	104	752
2	1D	102	753
1	7D	104	754
1	12D	102	755
0	11A	105	756
3	10A	103	757
3	8B	101	758
1	13B	104	759
3	9D	104	760
2	11B	105	761
0	10D	102	762
1	7A	102	763
2	10C	104	764
3	10B	103	765
3	1B	105	766
3	2B	105	767
2	11B	100	768
3	6A	104	769
2	13D	102	770
3	10D	103	771
1	14B	105	772
2	1D	101	773
0	12D	104	774
3	14A	101	775
2	4D	100	776
0	12A	100	777
0	2A	102	778
1	5D	102	779
0	6C	100	780
3	9C	100	781
1	12C	102	782
2	7C	100	783
0	13A	101	784
2	10D	103	785
2	2A	105	786
1	11C	101	787
0	8C	102	788
3	11B	101	789
1	8D	104	790
2	11C	101	791
0	4A	102	792
0	8D	105	793
2	9B	102	794
2	8B	100	795
2	5B	105	796
2	9B	105	797
2	5C	105	798
0	3D	101	799
3	3B	100	800
3	10C	104	801
0	3D	104	802
2	7A	100	803
3	8D	104	804
2	14B	100	805
1	9A	103	806
1	6C	101	807
0	10B	103	808
0	11C	100	809
2	9C	100	810
0	7A	101	811
0	11A	101	812
0	2D	102	813
1	3C	104	814
1	5C	105	815
1	3B	100	816
3	11B	104	817
1	8B	102	818
1	12D	100	819
2	1C	103	820
2	3A	102	821
3	3C	100	822
2	8B	102	823
2	5D	102	824
2	8A	104	825
1	8D	101	826
3	4D	104	827
1	8B	101	828
1	12C	100	829
2	6D	103	830
2	6A	104	831
2	4B	100	832
1	2C	100	833
1	7D	100	834
1	6D	105	835
0	5B	102	836
1	14B	102	837
3	6B	100	838
2	10C	105	839
3	8D	100	840
3	11B	103	841
0	6B	100	842
1	5D	100	843
3	12C	103	844
3	14C	102	845
1	8A	104	846
0	6A	103	847
2	13C	105	848
1	11B	100	849
3	10B	104	850
3	2A	104	851
0	10A	103	852
3	1A	101	853
3	6A	102	854
1	4C	105	855
2	11A	102	856
3	10B	100	857
1	7D	103	858
1	11B	103	859
1	10D	102	860
1	12B	101	861
1	12B	103	862
2	7A	103	863
2	9D	103	864
2	13C	100	865
2	1B	104	866
2	6B	104	867
2	2D	100	868
0	5D	105	869
2	12D	104	870
0	8A	104	871
1	12C	101	872
1	3B	101	873
0	4C	102	874
1	4C	100	875
0	14C	103	876
1	4A	102	877
0	5A	100	878
3	5A	105	879
1	4D	101	880
0	12B	100	881
0	12B	101	882
0	10B	102	883
2	7D	103	884
1	11C	105	885
0	2B	100	886
2	6A	102	887
0	14B	100	888
0	9A	105	889
0	10B	100	890
0	13B	102	891
2	12C	102	892
3	9A	104	893
1	5B	105	894
0	4C	103	895
0	10A	101	896
3	8D	105	897
1	13B	103	898
0	12C	100	899
1	2D	104	900
2	1C	100	901
2	6D	104	902
0	6B	102	903
2	12B	102	904
2	8A	100	905
3	6A	103	906
2	13A	100	907
2	8C	100	908
0	6D	105	909
2	7D	104	910
1	14A	104	911
2	10C	100	912
0	3D	103	913
2	9B	104	914
0	9C	102	915
3	5C	103	916
1	4D	105	917
2	14D	104	918
2	10B	101	919
3	1D	105	920
3	4B	102	921
0	3C	103	922
1	11B	102	923
1	8A	101	924
2	10B	100	925
1	2B	103	926
2	14B	105	927
2	7A	105	928
3	3C	104	929
0	6A	104	930
0	13C	102	931
0	3C	104	932
3	13B	100	933
2	1B	103	934
0	7D	102	935
3	14D	100	936
0	6D	104	937
1	1C	104	938
2	4C	102	939
1	5C	104	940
2	7B	103	941
2	11B	101	942
3	10B	105	943
0	7B	101	944
2	4C	103	945
3	2A	100	946
1	2D	102	947
2	3A	100	948
2	1D	104	949
2	4C	104	950
1	2D	103	951
3	14D	103	952
0	2D	100	953
0	6A	105	954
1	6A	100	955
3	1A	100	956
0	4A	105	957
1	1B	103	958
2	10A	105	959
0	13A	100	960
1	9B	101	961
2	12D	101	962
3	5B	102	963
1	4C	101	964
0	9A	102	965
0	8D	101	966
1	12C	103	967
2	11B	103	968
3	14A	104	969
0	4B	105	970
0	3C	101	971
2	4A	104	972
1	11B	104	973
1	2B	102	974
3	3A	102	975
3	2A	105	976
0	3C	102	977
2	6D	100	978
1	7A	103	979
3	4B	105	980
0	14B	101	981
2	12A	103	982
1	2B	100	983
3	5C	101	984
2	7A	101	985
0	8B	103	986
1	13A	104	987
1	1B	102	988
3	8B	103	989
2	13D	104	990
1	6D	103	991
1	10A	101	992
3	8A	105	993
1	7B	100	994
2	7D	100	995
1	7B	101	996
1	7B	102	997
2	14C	100	998
2	4D	105	999
0	5B	101	1000
1	4D	102	1001
3	7B	105	1002
2	9B	101	1003
3	7D	104	1004
2	11A	105	1005
1	12B	104	1006
0	10A	104	1007
0	3A	101	1008
2	1B	101	1009
1	14C	100	1010
2	13A	103	1011
2	6B	100	1012
1	4A	105	1013
3	3A	103	1014
1	3A	104	1015
3	4D	100	1016
3	10A	101	1017
3	2B	103	1018
0	3D	100	1019
2	6C	101	1020
0	3B	105	1021
0	4C	105	1022
3	9A	100	1023
0	14A	105	1024
1	4B	104	1025
3	1C	104	1026
3	8C	104	1027
0	7C	103	1028
2	7D	105	1029
3	11A	105	1030
1	3C	101	1031
0	11D	104	1032
3	13D	101	1033
0	2B	101	1034
3	6B	104	1035
2	10C	101	1036
